Year, city1                                  , city2                                  , nsmiles, fare
2024, "El Paso, TX"                          , "Los Angeles, CA (Metropolitan Area)"  ,     715, 249.34
2024, "Bismarck/Mandan, ND"                  , "Phoenix, AZ"                          ,    1094, 149.71
2024, "Cleveland, OH (Metropolitan Area)"    , "Dallas/Fort Worth, TX"                ,    1023, 343.38
2024, "Cleveland, OH (Metropolitan Area)"    , "Denver, CO"                           ,    1224, 325.62
2024, "Cleveland, OH (Metropolitan Area)"    , "Phoenix, AZ"                          ,    1754, 334.5
2024, "Cleveland, OH (Metropolitan Area)"    , "Nashville, TN"                        ,     448, 136.19
2024, "Cleveland, OH (Metropolitan Area)"    , "Washington, DC (Metropolitan Area)"   ,     314, 197.64
2024, "Cleveland, OH (Metropolitan Area)"    , "Houston, TX"                          ,    1106, 535.5
2024, "Cleveland, OH (Metropolitan Area)"    , "Orlando, FL"                          ,     895, 130.73
2024, "Cleveland, OH (Metropolitan Area)"    , "Minneapolis/St. Paul, MN"             ,     657, 283.11
2024, "Cleveland, OH (Metropolitan Area)"    , "New York City, NY (Metropolitan Area)",     459, 314.42
2024, "Cleveland, OH (Metropolitan Area)"    , "Fort Myers, FL"                       ,    1025, 136.23
2024, "Cleveland, OH (Metropolitan Area)"    , "Las Vegas, NV"                        ,    1846, 173.62
2024, "Cleveland, OH (Metropolitan Area)"    , "San Francisco, CA (Metropolitan Area)",    2187, 475.83
2024, "Cleveland, OH (Metropolitan Area)"    , "Miami, FL (Metropolitan Area)"        ,    1080, 157.48
2024, "Cleveland, OH (Metropolitan Area)"    , "Los Angeles, CA (Metropolitan Area)"  ,    2073, 887.67
2024, "Cleveland, OH (Metropolitan Area)"    , "Tampa, FL (Metropolitan Area)"        ,     927, 103.14
2024, "Cleveland, OH (Metropolitan Area)"    , "San Diego, CA"                        ,    2045, 490.82
2024, "Cleveland, OH (Metropolitan Area)"    , "Sarasota/Bradenton, FL"               ,     967, 126.22
2024, "Nashville, TN"                        , "Phoenix, AZ"                          ,    1449, 259.5
2024, "Nashville, TN"                        , "Washington, DC (Metropolitan Area)"   ,     587, 233.3
